iter	RMSE
0	0.9758306586
1	0.9519103545
2	0.9299828743
3	0.9102280513
4	0.8886748613
5	0.8692063686
6	0.8507324336
7	0.8319318037
8	0.8140571685
9	0.7970094326
10	0.7807923716
11	0.7623796839
12	0.7470285258
13	0.7322231611
14	0.7180400543
15	0.7043716615
16	0.6917863155
17	0.6783871704
18	0.6649755136
19	0.6525304892
20	0.641038561
21	0.6283231459
22	0.6161934755
23	0.6046198086
24	0.5932393566
25	0.5831291251
26	0.5726518741
27	0.56275292
28	0.5546578314
29	0.5455168921
30	0.5366043966
31	0.5281708695
32	0.5210660937
33	0.5145402039
34	0.5062100878
35	0.4992928568
36	0.4927542092
37	0.486077405
38	0.4795182748
39	0.4740824495
40	0.4677006843
41	0.462455968
42	0.4565188191
43	0.4514298093
44	0.4460559127
45	0.4403217101
46	0.435233002
47	0.4306535554
48	0.4256908111
49	0.4213694795
50	0.4170107105
51	0.4134263911
52	0.4095105355
53	0.4054400166
54	0.4015404282
55	0.3988136984
56	0.3956462471
57	0.3922183916
58	0.3890432154
59	0.3856802661
60	0.3828496434
61	0.3796990549
62	0.3769850927
63	0.3743341216
64	0.3719198495
65	0.3693767373
66	0.3664479444
67	0.3640205876
68	0.3615365266
69	0.3588760038
70	0.3566691644
71	0.3542781328
72	0.3524311404
73	0.3504779644
74	0.3484340014
75	0.3467266932
76	0.344498552
77	0.3423836262
78	0.3401387683
79	0.3382290216
80	0.3366156358
81	0.3348637051
82	0.3329433068
83	0.3312339965
84	0.3296814527
85	0.3282603421
86	0.3268193506
87	0.3250778365
88	0.3237938281
89	0.3224331158
90	0.3208418472
91	0.3195514441
92	0.3178955721
93	0.3165429582
94	0.3153863743
95	0.314233463
96	0.3127889443
97	0.3114413105
98	0.3101327701
99	0.3086735786
100	0.3074682318
101	0.3061233631
102	0.3051345097
103	0.3042608729
104	0.3030709714
105	0.3020048729
106	0.3007097152
107	0.299702509
108	0.2986918918
109	0.2975028548
110	0.2962886902
111	0.2952770119
112	0.2945658425
113	0.2937253076
114	0.2928584686
115	0.2919693882
116	0.2910537036
117	0.2901913684
118	0.2891270948
119	0.2885035412
120	0.2879491808
121	0.2870910043
122	0.2864091121
123	0.2856363342
124	0.284838898
125	0.2838517077
126	0.2827872032
127	0.2820737892
128	0.2814540306
129	0.2807883121
130	0.2800938637
131	0.2795464898
132	0.2785956583
133	0.2781356245
134	0.2774943717
135	0.2767200791
136	0.2760508803
137	0.2753323394
138	0.274563263
139	0.2738114357
140	0.2731922462
141	0.2725330973
142	0.2719707844
143	0.2713823041
144	0.2710050281
145	0.2706464406
146	0.2700445799
147	0.2694817385
148	0.268751253
149	0.2682466083
150	0.2676855253
151	0.267098699
152	0.266380275
153	0.2658296252
154	0.2655862874
155	0.2650471102
156	0.2646592162
157	0.2639807627
158	0.2633015568
159	0.2627689052
160	0.2620894282
161	0.2617531401
162	0.2610666883
163	0.260484014
164	0.2598784968
165	0.2591681243
166	0.2588185861
167	0.2583212287
168	0.2581343602
169	0.2580063312
170	0.257394454
171	0.2570077588
172	0.2565400815
173	0.256036478
174	0.2553945337
175	0.2549309017
176	0.2542693765
177	0.2537311545
178	0.2532489074
179	0.2526337037
180	0.252226243
181	0.2518424526
182	0.2514624861
183	0.2510226179
184	0.2505545589
185	0.2499817863
186	0.2495580039
187	0.2490638706
188	0.248790452
189	0.2482217308
190	0.2479243133
191	0.2475056315
192	0.2470615249
193	0.2466515409
194	0.2461680798
195	0.245650823
196	0.2452556193
197	0.2449280291
198	0.2445719986
199	0.2439645322
200	0.2433876824
201	0.2429642206
202	0.2425187257
203	0.2421834418
204	0.241771384
205	0.2415663316
206	0.2412878217
207	0.2410166671
208	0.2409007705
209	0.240302111
210	0.2401430004
211	0.2397327589
212	0.2391085881
213	0.2388635967
214	0.2384340649
215	0.2381603937
216	0.2374642612
217	0.2372550221
218	0.2366536688
219	0.2362469199
220	0.235868274
221	0.2355911864
222	0.2352157486
223	0.2346215447
224	0.2340852663
225	0.2336041072
226	0.2330261661
227	0.2324938732
228	0.2320099991
229	0.2317607213
230	0.2316616439
231	0.2314512652
232	0.2312326377
233	0.2310605273
234	0.2305691774
235	0.2299937873
236	0.2297803584
237	0.2295835966
238	0.2293032283
239	0.2290923769
240	0.2287591875
241	0.2281690704
242	0.2274800216
243	0.2270392176
244	0.2266225277
245	0.2260711064
