iter	Passed	Remaining
0	21	21594
1	38	19029
2	56	18705
3	73	18369
4	91	18160
5	114	18922
6	151	21524
7	179	22309
8	206	22691
9	227	22474
10	246	22164
11	262	21614
12	279	21240
13	298	20990
14	323	21224
15	349	21479
16	374	21629
17	405	22130
18	436	22555
19	459	22512
20	486	22687
21	516	22966
22	533	22649
23	551	22443
24	567	22141
25	595	22312
26	621	22399
27	642	22320
28	661	22146
29	678	21935
30	703	21981
31	720	21806
32	738	21631
33	753	21398
34	769	21225
35	787	21081
36	802	20887
37	819	20736
38	838	20654
39	853	20487
40	871	20378
41	888	20256
42	902	20091
43	917	19930
44	932	19798
45	946	19639
46	966	19590
47	987	19594
48	1003	19483
49	1019	19367
50	1034	19244
51	1049	19129
52	1063	19008
53	1080	18932
54	1101	18927
55	1118	18856
56	1134	18767
57	1149	18663
58	1165	18593
59	1183	18540
60	1203	18528
61	1221	18483
62	1239	18433
63	1255	18368
64	1272	18298
65	1289	18247
66	1305	18174
67	1320	18094
68	1334	18001
69	1352	17965
70	1367	17890
71	1393	17965
72	1431	18184
73	1457	18236
74	1482	18287
75	1510	18365
76	1536	18419
77	1561	18462
78	1582	18448
79	1603	18440
80	1627	18463
81	1651	18487
82	1677	18533
83	1700	18541
84	1724	18564
85	1752	18629
86	1781	18690
87	1808	18743
88	1835	18785
89	1866	18868
90	1896	18939
91	1932	19074
92	1959	19106
93	1990	19183
94	2014	19191
95	2041	19223
96	2068	19253
97	2095	19284
98	2122	19321
99	2156	19409
100	2183	19437
101	2210	19462
102	2240	19516
103	2272	19576
104	2297	19586
105	2326	19619
106	2350	19617
107	2377	19637
108	2401	19632
109	2427	19644
110	2456	19670
111	2486	19715
112	2516	19749
113	2543	19766
114	2571	19785
115	2597	19798
116	2628	19837
117	2662	19903
118	2689	19911
119	2717	19929
120	2743	19931
121	2772	19954
122	2803	19986
123	2837	20044
124	2870	20095
125	2905	20157
126	2938	20197
127	2968	20223
128	3026	20436
129	3057	20459
130	3086	20475
131	3114	20482
132	3139	20466
133	3165	20457
134	3195	20473
135	3223	20477
136	3247	20457
137	3274	20451
138	3297	20426
139	3322	20407
140	3346	20386
141	3368	20354
142	3392	20333
143	3415	20306
144	3438	20277
145	3467	20281
146	3496	20288
147	3522	20276
148	3549	20270
149	3572	20246
150	3602	20254
151	3633	20272
152	3659	20256
153	3685	20245
154	3712	20241
155	3739	20230
156	3768	20236
157	3798	20241
158	3822	20220
159	3845	20190
160	3868	20157
161	3944	20402
162	3993	20505
163	4016	20472
164	4047	20485
165	4072	20459
166	4100	20452
167	4128	20447
168	4160	20457
169	4187	20442
170	4211	20418
171	4240	20412
172	4270	20413
173	4295	20390
174	4319	20361
175	4343	20333
176	4364	20294
177	4389	20271
178	4413	20243
179	4438	20219
180	4465	20206
181	4491	20185
182	4528	20217
183	4554	20199
184	4578	20170
185	4615	20200
186	4643	20190
187	4671	20178
188	4702	20176
189	4730	20166
190	4757	20150
191	4786	20144
192	4811	20119
193	4838	20103
194	4864	20082
195	4896	20086
196	4922	20066
197	4944	20029
198	4973	20019
199	5003	20013
200	5038	20027
201	5075	20051
202	5106	20048
203	5135	20037
204	5163	20022
205	5190	20007
206	5226	20021
207	5254	20009
208	5285	20002
209	5322	20024
210	5352	20014
211	5380	20000
212	5410	19990
213	5439	19980
214	5478	20001
215	5514	20015
216	5543	20000
217	5575	20001
218	5599	19969
219	5624	19941
220	5650	19919
221	5673	19882
222	5697	19851
223	5721	19821
224	5753	19816
225	5784	19809
226	5814	19799
227	5852	19815
228	5884	19812
229	5912	19794
230	5945	19791
231	5972	19770
232	6000	19753
233	6029	19738
234	6056	19717
235	6085	19700
236	6115	19688
237	6147	19682
238	6180	19679
239	6212	19673
240	6243	19661
241	6267	19632
242	6278	19558
243	6288	19484
244	6298	19409
245	6308	19334
246	6319	19264
247	6329	19191
248	6340	19124
249	6351	19054
250	6361	18981
251	6372	18914
252	6383	18848
253	6393	18776
254	6403	18707
255	6412	18636
256	6421	18565
257	6432	18499
258	6442	18432
259	6453	18367
260	6464	18303
261	6473	18234
262	6483	18169
263	6492	18101
264	6502	18034
265	6513	17972
266	6521	17904
267	6533	17844
268	6543	17783
269	6553	17717
270	6564	17657
271	6572	17591
272	6582	17530
273	6593	17469
274	6602	17405
275	6614	17349
276	6624	17291
277	6633	17228
278	6644	17170
279	6652	17106
280	6662	17048
281	6673	16991
282	6682	16930
283	6693	16874
284	6701	16813
285	6711	16756
286	6722	16701
287	6733	16646
288	6744	16592
289	6754	16537
290	6763	16477
291	6773	16423
292	6781	16363
293	6791	16309
294	6801	16255
295	6830	16245
